Reef_ID,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
5,Four Fathom Patches,0,0,0,0,0.001210186,0,0,0,0,0.001210186,57821.81968,Far Northern Management Area,Torres Strait,59057,E
6,Harrington Reef,0,0,0,0,0,4.162737108,0,0,0,4.162737108,60859.86683,Far Northern Management Area,Torres Strait,59057,E
7,Wyborn Reef,0,0,0,0,0,18.15511237,0,0,0,18.15511237,62449.85856,Far Northern Management Area,Torres Strait,59057,E
8,U/N Reef,0,0,0,0,0,1.906177059,0,0,0,1.906177059,82237.51144,Far Northern Management Area,Torres Strait,59057,E
9,Womer Reef,0,0,0,0,0,6.788223198,0,0,0,6.788223198,86706.35226,Far Northern Management Area,Torres Strait,59057,E
10,Brewis Reef,0,0,0,0,0,0.513973791,0,0,0,0.513973791,62962.43834,Far Northern Management Area,Torres Strait,59057,E
11,Turtle Island Reef,0,0,0,0,0,0.679536067,0,0,0,0.679536067,63291.92168,Far Northern Management Area,Torres Strait,59057,E
12,Shortland Reef,0,0,0,0,0,7.136815376,0,0,0,7.136815376,69328.47047,Far Northern Management Area,Torres Strait,59057,E
13,Trochus Reef,0,0,0,0,0,0.071476397,0,0,0,0.071476397,59047.75177,Far Northern Management Area,Torres Strait,59057,E
38,Turtle Head Island Reef (No 1),0,0,0,0,0,0.08215113,0,0,0,0.08215113,67346.90116,Far Northern Management Area,Torres Strait,59057,E
39,Turtle Head Island Reef (No 2),0,0,0,0,0,0.293674209,0,0,0,0.293674209,67758.2193,Far Northern Management Area,Torres Strait,59057,E
40,Tern Reef,0,0,0,0,0,0.000583592,0,0,0,0.000583592,76386.58838,Far Northern Management Area,Torres Strait,59057,E
41,U/N Reef,0,0,0,0,0.17859726,0,0,0,0,0.17859726,114229.8869,Far Northern Management Area,Torres Strait,59058,E
42,U/N Reef,0,0,0,0,0,1.563807089,0,0,0,1.563807089,135034.0681,Far Northern Management Area,Torres Strait,59058,E
43,U/N Reef,0,0,0,0,0,1.074871365,0,0,0,1.074871365,138460.2629,Far Northern Management Area,Torres Strait,59058,E
44,U/N Reef,0,0,0,0,0,7.755676438,0,0,0,7.755676438,108041.0683,Far Northern Management Area,Torres Strait,59058,E
45,U/N Reef,0,0,0,0,0,3.891241279,0,0,0,3.891241279,123378.5204,Far Northern Management Area,Torres Strait,59058,E
46,U/N Reef,0,0,0,0,0,4.656814869,0,0,0,4.656814869,97718.59417,Far Northern Management Area,Torres Strait,59058,E
47,U/N Reef,0,0,0,0,0.041178099,0,0,0,0,0.041178099,129051.1223,Far Northern Management Area,Torres Strait,59058,E
48,U/N Reef,0,0,0,0,0,3.248906927,0,0,0,3.248906927,122854.8485,Far Northern Management Area,Torres Strait,59058,E
49,U/N Reef,0,0,0,0,0,1.944531342,0,0,0,1.944531342,133768.4201,Far Northern Management Area,Torres Strait,59058,E
50,U/N Reef,0,0,0,0,0,3.493884406,0,0,0,3.493884406,127508.3773,Far Northern Management Area,Torres Strait,59058,E
51,U/N Reef,0,0,0,0,0,10.67319613,0,0,0,10.67319613,126923.4932,Far Northern Management Area,Torres Strait,59058,E
52,U/N Reef,0,0,0,0,0.148495502,0,0,0,0,0.148495502,143549.4514,Far Northern Management Area,Torres Strait,59058,E
53,U/N Reef,0,0,0,0,0,1.654157378,0,0,0,1.654157378,122498.172,Far Northern Management Area,Torres Strait,59058,E
54,U/N Reef,0,0,0,0,0,0,2.060487855,0,0,2.060487855,133936.297,Far Northern Management Area,Torres Strait,59058,E
55,U/N Reef,0,0,0,0,0,3.990953691,0,0,0,3.990953691,116232.071,Far Northern Management Area,Torres Strait,59058,E
56,U/N Reef,0,0,0,0,0.072141026,0,0,0,0,0.072141026,118828.4639,Far Northern Management Area,Torres Strait,59058,E
57,U/N Reef,0,0,0,0,0,3.240308478,0,0,0,3.240308478,114769.1065,Far Northern Management Area,Torres Strait,59058,E
58,Linda Reef,0,0,0,0,0,3.619260195,0,0,0,3.619260195,111987.1623,Far Northern Management Area,Torres Strait,59058,E
59,U/N Reef,0,0,0,0,0.024105923,0,0,0,0,0.024105923,123874.9387,Far Northern Management Area,Torres Strait,59058,E
60,U/N Reef,0,0,0,0,0,0,3.179550135,0,0,3.179550135,133995.5195,Far Northern Management Area,Torres Strait,59058,E
