id,reef_uniqueid,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
44,10358100104,U/N Reef,0,0,0,0,0,0,10.67319613,0,0,10.67319613,126923.4932,Far Northern,Torres Strait,59058,E
45,10359100104,U/N Reef,0,0,0,0,0,0.148495502,0,0,0,0.148495502,143549.4514,Far Northern,Torres Strait,59058,E
46,10360100104,U/N Reef,0,0,0,0,0,0,1.654157378,0,0,1.654157378,122498.172,Far Northern,Torres Strait,59058,E
47,10361100104,U/N Reef,0,0,0,0,0,0,0,2.060487855,0,2.060487855,133936.297,Far Northern,Torres Strait,59058,E
48,10362100104,U/N Reef,0,0,0,0,0,0,3.990953691,0,0,3.990953691,116232.071,Far Northern,Torres Strait,59058,E
49,10363100104,U/N Reef,0,0,0,0,0,0.072141026,0,0,0,0.072141026,118828.4639,Far Northern,Torres Strait,59058,E
50,10364100104,U/N Reef,0,0,0,0,0,0,3.240308478,0,0,3.240308478,114769.1065,Far Northern,Torres Strait,59058,E
51,10365100104,Linda Reef,0,0,0,0,0,0,3.619260195,0,0,3.619260195,111987.1623,Far Northern,Torres Strait,59058,E
52,10366100104,U/N Reef,0,0,0,0,0,0.024105923,0,0,0,0.024105923,123874.9387,Far Northern,Torres Strait,59058,E
53,10367100104,U/N Reef,0,0,0,0,0,0,0,3.179550135,0,3.179550135,133995.5195,Far Northern,Torres Strait,59058,E
54,10368100104,U/N Reef,0,0,0,0,0,0,3.015582243,0,0,3.015582243,126502.6254,Far Northern,Torres Strait,59058,E
55,10369100104,U/N Reef,0,0,0,0,0,0.296367026,0,0,0,0.296367026,125881.802,Far Northern,Torres Strait,59058,E
56,10370100104,U/N Reef,0,0,0,0,0,0.039692698,0,0,0,0.039692698,118001.1439,Far Northern,Torres Strait,59058,E
57,10371100104,U/N Reef,0,0,0,0,0,0,3.591077884,0,0,3.591077884,120860.8201,Far Northern,Torres Strait,59058,E
58,10372100104,U/N Reef,0,0,0,0,0,0,2.027679614,0,0,2.027679614,111496.4299,Far Northern,Torres Strait,59058,E
59,10373100104,U/N Reef,0,0,0,0,0,0.000283842,2.342791515,0,0,2.343075357,108811.2345,Far Northern,Torres Strait,59058,E
60,10374100104,U/N Reef,0,0,0,0,0,0.208325707,0,0,0,0.208325707,132365.0082,Far Northern,Torres Strait,59058,E
61,10375101104,U/N Reef,0,0,0,0,0,0.104234692,0,0,0,0.104234692,138423.0602,Far Northern,Torres Strait,59058,E
62,10375102104,U/N Reef,0,0,0,0,0,0.047404704,0,0,0,0.047404704,141294.4016,Far Northern,Torres Strait,59058,E
63,10376100104,U/N Reef,0.000387783,0,0,0,0,0.072940527,3.76642317,0,0,3.83975148,109580.224,Far Northern,Torres Strait,59058,E
64,10378100104,U/N Reef,0,0,0,0,0,0,0,0.197651407,0,0.197651407,148336.468,Far Northern,Torres Strait,59059,E
65,10381100104,U/N Reef,0,0,0,0,0,0,0,3.156293382,0,3.156293382,193517.1514,Far Northern,Torres Strait,59059,E
66,10382100104,U/N Reef,0,0,0,0,0,0,4.201923356,0,0,4.201923356,172607.8139,Far Northern,Torres Strait,59059,E
67,10384100104,U/N Reef,0,0,0,0,0,0,0,9.948745002,0,9.948745002,193335.543,Far Northern,Torres Strait,59059,E
68,10385100104,U/N Reef,0,0,0,0,0,0,0,2.084008087,0,2.084008087,193321.2053,Far Northern,Torres Strait,59059,E
69,10386100104,U/N Reef,0,0,0,0,0,0,0,4.605529319,0,4.605529319,194913.75,Far Northern,Torres Strait,59059,E
70,10387100104,U/N Reef,0,0,0,0,0,0,3.573806302,0,0,3.573806302,143847.9611,Far Northern,Torres Strait,59059,E
71,10389100104,U/N Reef,0,0,0,0,0,0,0,1.419244764,0,1.419244764,194338.4088,Far Northern,Torres Strait,59059,E
72,10390100104,U/N Reef,0,0,0,0,0,0,0,4.058629166,0,4.058629166,195016.4519,Far Northern,Torres Strait,59059,E
73,10391100104,Triangle Reef,0,0,0,0,0,0,0,11.04712776,0,11.04712776,196818.9116,Far Northern,Torres Strait,59060,E
74,10392100104,U/N Reef,0,0,0,0,0,0,10.78155754,0,0,10.78155754,156884.79,Far Northern,Torres Strait,59059,E
75,10393100104,U/N Reef,0,0,0,0,0,0.19029341,0,0,0,0.19029341,168452.7696,Far Northern,Torres Strait,59059,E
